"Step","lively-brook-27 - train/rmse_param_sig","lively-brook-27 - train/rmse_param_sig__MIN","lively-brook-27 - train/rmse_param_sig__MAX","glamorous-snowflake-26 - train/rmse_param_sig","glamorous-snowflake-26 - train/rmse_param_sig__MIN","glamorous-snowflake-26 - train/rmse_param_sig__MAX","dark-moon-25 - train/rmse_param_sig","dark-moon-25 - train/rmse_param_sig__MIN","dark-moon-25 - train/rmse_param_sig__MAX","legendary-sponge-24 - train/rmse_param_sig","legendary-sponge-24 - train/rmse_param_sig__MIN","legendary-sponge-24 - train/rmse_param_sig__MAX"
"71","52.85319519042969","52.85319519042969","52.85319519042969","64.10862731933594","64.10862731933594","64.10862731933594","63.89925003051758","63.89925003051758","63.89925003051758","64.07949829101562","64.07949829101562","64.07949829101562"
"72","52.8445930480957","52.8445930480957","52.8445930480957","64.29637908935547","64.29637908935547","64.29637908935547","64.0844955444336","64.0844955444336","64.0844955444336","64.27601623535156","64.27601623535156","64.27601623535156"
"73","52.82033157348633","52.82033157348633","52.82033157348633","64.48466491699219","64.48466491699219","64.48466491699219","64.26919555664062","64.26919555664062","64.26919555664062","64.4723129272461","64.4723129272461","64.4723129272461"
"74","52.770355224609375","52.770355224609375","52.770355224609375","64.67123413085938","64.67123413085938","64.67123413085938","64.45433807373047","64.45433807373047","64.45433807373047","64.66788482666016","64.66788482666016","64.66788482666016"
"75","52.724090576171875","52.724090576171875","52.724090576171875","64.85857391357422","64.85857391357422","64.85857391357422","64.63885498046875","64.63885498046875","64.63885498046875","64.8638916015625","64.8638916015625","64.8638916015625"
"76","52.665802001953125","52.665802001953125","52.665802001953125","65.04395294189453","65.04395294189453","65.04395294189453","64.82164001464844","64.82164001464844","64.82164001464844","65.05994415283203","65.05994415283203","65.05994415283203"
"77","52.615562438964844","52.615562438964844","52.615562438964844","65.22908020019531","65.22908020019531","65.22908020019531","65.00576782226562","65.00576782226562","65.00576782226562","65.25675964355469","65.25675964355469","65.25675964355469"
"78","52.60458755493164","52.60458755493164","52.60458755493164","65.41476440429688","65.41476440429688","65.41476440429688","65.19023132324219","65.19023132324219","65.19023132324219","65.45549011230469","65.45549011230469","65.45549011230469"
"79","52.60902404785156","52.60902404785156","52.60902404785156","65.60169982910156","65.60169982910156","65.60169982910156","65.37372589111328","65.37372589111328","65.37372589111328","65.65444946289062","65.65444946289062","65.65444946289062"
"80","52.61056137084961","52.61056137084961","52.61056137084961","65.78732299804688","65.78732299804688","65.78732299804688","65.55738067626953","65.55738067626953","65.55738067626953","65.85343170166016","65.85343170166016","65.85343170166016"
