Step,Ours,Naive,Planar
215,0.007800426560624010,0.0061959008713825300,0.01301628906457270
216,0.007676688489912580,0.005787500065501070,0.012780231256208700
217,0.0075917945279357800,0.00543281996787043,0.012704365524809800
218,0.007520052944221550,0.005086047725093050,0.01266319818300750
219,0.007826117241397300,0.005340585337960250,0.01314833182127120
220,0.008299692195197710,0.005933492895028890,0.014140775652867800
221,0.008729231609438280,0.006451022502421890,0.015043787142369900
222,0.009418807847255910,0.0073214941347877500,0.016239964128288200
223,0.010012611564647500,0.007925971448497440,0.01716133673014090
224,0.010557573264904800,0.008617681451638560,0.018074343599219000
225,0.01113807417752730,0.009374406509588260,0.01914429615968460
226,0.011682343438073800,0.010030955321450600,0.019966684811405100
227,0.012399466127508700,0.010803248708278800,0.02068395816569600
228,0.01023673321297660,0.008892458778234380,0.021072171902279800
229,0.008287177501467960,0.007153330796439300,0.021011527617323100
230,0.0065341005366243700,0.005578394120515070,0.02056932018100940
231,0.005228929377948720,0.004594667311476000,0.019952590445129800
232,0.00415383932815484,0.0037463177218760600,0.01826950057071680
233,0.0032942896852972800,0.0031600163289384600,0.016631975248015500
234,0.002823764361966150,0.0030352108223532600,0.015500878202820200
235,0.0013893727140820400,0.0016737010833676400,0.012962313705993500
236,0.001428852137918710,0.0017164420479862100,0.011076729531668800
237,0.002109034132662430,0.0022949099698994700,0.010039965705004000
238,0.0028421991589274600,0.0029517896501043300,0.009181173313824940
239,0.0034287650548036900,0.0034027130146765700,0.008867590098653070
240,0.0038209296662397200,0.0036510390137530300,0.008819900683092910
241,0.004113576841748450,0.003816837297998010,0.008894626082878410
242,0.004378691900482210,0.00396836214416113,0.008973790727170170
243,0.004635075223830130,0.004085153285686550,0.009285332251257270
244,0.004865105701284250,0.004196415088835300,0.009616797022917840
245,0.00506642472269854,0.004299274013880600,0.009951911762945320
246,0.005249098206475260,0.004397850442614700,0.010270569195553900
247,0.005411848264461140,0.004490897339800990,0.010582693765376700
248,0.005298953425667160,0.004297903175000060,0.011140435058396300
249,0.005263484497399250,0.004156781271102750,0.011811753030511200
250,0.005136168240469360,0.003943423327157700,0.01274744059353220
251,0.00502182068931065,0.003761092938379000,0.013590380914893500
252,0.004730991646553950,0.003439328167405040,0.014772591717854900
253,0.004470716922134940,0.0031796328951090700,0.015759157359827800
254,0.004155819835164850,0.0029196880779017600,0.016683291072751500
255,0.003877221158826690,0.002736157167607780,0.017351782982884800
256,0.00363159531743357,0.002607412343730620,0.017692215064143200
257,0.003420543950433990,0.00249073050469187,0.017551362376226300
258,0.004233497657270240,0.002526152758696600,0.016695780568021700
259,0.004618409448282200,0.0024659139601406000,0.01631370605822590
260,0.004973867740009690,0.002415816650334820,0.015837838475748900
261,0.005232655154246880,0.0023928117267830800,0.01575780658978450
262,0.0054658504446306800,0.0023850399572091500,0.0157411696547983
263,0.005676099721018280,0.0023867868728447400,0.015828770477582500
264,0.005868394666015530,0.0023714122298539000,0.015850907863391300
265,0.005980430998287310,0.002392999469240140,0.01613425416796430
266,0.005715902012959290,0.0026031531903169600,0.016907307657792100
267,0.005478166306734800,0.0028666276232480400,0.01749258341298000
268,0.0052647205643278500,0.003143842881985010,0.017784234340574900
269,0.004686148679144840,0.0038882242775566800,0.018228779512647800
270,0.00416696347455895,0.004613850577910460,0.01848218636462140
271,0.0043782121721705700,0.0034159608510413200,0.017089010325967700
272,0.004572226851548260,0.0023669274540587200,0.01579249363878280
273,0.004734079880930200,0.0015501422364683100,0.014691860239695700
274,0.004873846240036450,0.001139241175883250,0.013738033080677100
275,0.005002821599549320,0.0013384822311225000,0.012902611246828900
276,0.004898344113909950,0.001617728564661040,0.012590220884829500
277,0.004874544417409710,0.0020859650023516200,0.012301971795472800
278,0.0047323475197949200,0.0023987778229380500,0.012327874030987200
279,0.004437102365769460,0.0024958853456754100,0.0125619202911518
280,0.0041724475043646300,0.002594785309739210,0.012777065040999000
281,0.0036798316358483100,0.0023475149897671600,0.013297006795367800
282,0.0032438894579942300,0.0021332883994709700,0.013761476849944200
283,0.002615308936034280,0.0015892544447662300,0.014535706355816500
284,0.0020296563402299300,0.0010030393333361900,0.015527732274925200
285,0.0016035315250505300,0.0004833289957311740,0.016351208281956900
286,0.0013829016069151900,0.00010768648575176300,0.016377627935003400
287,0.0013814647802720000,0.00032052750051497600,0.016110539541278500
288,0.0015546690826690800,0.0006329678462430040,0.015749650531315000
289,0.001932164402816940,0.0011145677011347500,0.015805078679933600
290,0.002216867784793230,0.0014079252619649400,0.0156658692638012
291,0.002497293770483020,0.0016766819898466400,0.01565687781368790
292,0.0027938160808582800,0.001958877221081870,0.015782082192307900
293,0.0031559266545701400,0.0023160458123802000,0.01604123130974760
294,0.00378369669979524,0.003055499243392740,0.016626026561869200
295,0.004363632565578800,0.0037068989536760800,0.017149562455197600
296,0.004894355677668400,0.004278051161373440,0.017554098785354800
297,0.005467680075710290,0.00489011467754762,0.018062464661024000
298,0.006019340219374230,0.005465909694019800,0.018600939749757800
299,0.006518194188424590,0.005973860239012250,0.018917971155165800
300,0.007357662328028800,0.006858053172518370,0.01911042486923550
